Temperature (C),Temperature (K),Capacitance (nF),$\epsilon$,$\epsilon_R$
23.5,296.5,635,4.04459E-09,456.8088985
51,324,644,4.10191E-09,463.2833553
56,329,650,4.14013E-09,467.5996599
60,333,657,4.18471E-09,472.6353485
65,338,658,4.19108E-09,473.3547326
70,343,673,4.28662E-09,484.145494
75,348,695,4.42675E-09,499.971944
80,353,726,4.6242E-09,522.2728509
85,358,767,4.88535E-09,551.7675987
90,363,820,5.22293E-09,589.8949555
95,368,905,5.76433E-09,651.0426034
100,373,1020,6.49682E-09,733.771774
105,378,1120,7.13376E-09,805.7101832
110,383,1100,7.00637E-09,791.3225013
112,385,1050,6.6879E-09,755.3532967
113,386,1028,6.54777E-09,739.5268467
114,387,1000,6.36943E-09,719.3840921
115,388,980,6.24204E-09,704.9964103
116,389,958,6.10191E-09,689.1699602
117,390,933,5.94268E-09,671.1853579
118,391,910,5.79618E-09,654.6395238
119,392,889,5.66242E-09,639.5324579
120,393,870,5.5414E-09,625.8641601
"graph(1,2)",,,,